证券代码,证券名称
00038.HK,第一拖拉机股份
00107.HK,四川成渝高速公路
00168.HK,青岛啤酒股份
00177.HK,江苏宁沪高速公路
00187.HK,京城机电股份
00317.HK,中船防务
00323.HK,马鞍山钢铁股份
00338.HK,上海石油化工股份
00347.HK,鞍钢股份
00358.HK,江西铜业股份
00386.HK,中国石油化工股份
00390.HK,中国中铁
00525.HK,广深铁路股份
00548.HK,深圳高速公路股份
00553.HK,南京熊猫电子股份
00564.HK,郑煤机
00568.HK,山东墨龙
00588.HK,北京北辰实业股份
00598.HK,中国外运
00670.HK,中国东方航空股份
00719.HK,山东新华制药股份
00728.HK,中国电信
00753.HK,中国国航
00763.HK,中兴通讯
00811.HK,新华文轩
00857.HK,中国石油股份
00874.HK,白云山
00883.HK,中国海洋石油
00895.HK,东江环保
00902.HK,华能国际电力股份
00914.HK,海螺水泥
00916.HK,龙源电力
00921.HK,海信家电
00939.HK,建设银行
00941.HK,中国移动
00956.HK,新天绿色能源
00981.HK,中芯国际
00991.HK,大唐发电
00995.HK,安徽皖通高速公路
00998.HK,中信银行
01033.HK,中石化油服
01053.HK,重庆钢铁股份
01055.HK,中国南方航空股份
01057.HK,浙江世宝
01065.HK,天津创业环保股份
01071.HK,华电国际电力股份
01072.HK,东方电气
01088.HK,中国神华
01108.HK,凯盛新能
01138.HK,中远海能
01157.HK,中联重科
01171.HK,兖矿能源
01186.HK,中国铁建
01211.HK,比亚迪股份
01288.HK,农业银行
01330.HK,绿色动力环保
01336.HK,新华保险
01339.HK,中国人民保险集团
01347.HK,华虹半导体
01349.HK,复旦张江
01375.HK,中州证券
01385.HK,上海复旦
01398.HK,工商银行
01456.HK,国联证券
01513.HK,丽珠医药
01528.HK,红星美凯龙
01618.HK,中国中冶
01635.HK,大众公用
01658.HK,邮储银行
01766.HK,中国中车
01772.HK,赣锋锂业
01776.HK,广发证券
01787.HK,山东黄金
01800.HK,中国交通建设
01812.HK,晨鸣纸业
01816.HK,中广核电力
01839.HK,中集车辆
01858.HK,春立医疗
01877.HK,君实生物
01880.HK,中国中免
01898.HK,中煤能源
01919.HK,中远海控
01963.HK,重庆银行
01988.HK,民生银行
02009.HK,金隅集团
02016.HK,浙商银行
02039.HK,中集集团
02068.HK,中铝国际
02196.HK,复星医药
02202.HK,万科企业
02208.HK,金风科技
02218.HK,安德利果汁
02238.HK,广汽集团
02318.HK,中国平安
02333.HK,长城汽车
02338.HK,潍柴动力
02359.HK,药明康德
02402.HK,亿华通
02600.HK,中国铝业
02601.HK,中国太保
02607.HK,上海医药
02611.HK,国泰君安
02628.HK,中国人寿
02727.HK,上海电气
02866.HK,中远海发
02880.HK,辽港股份
02883.HK,中海油田服务
02899.HK,紫金矿业
03328.HK,交通银行
03347.HK,泰格医药
03369.HK,秦港股份
03606.HK,福耀玻璃
03618.HK,重庆农村商业银行
03678.HK,弘业期货
03759.HK,康龙化成
03866.HK,青岛银行
03898.HK,时代电气
03908.HK,中金公司
03958.HK,东方证券
03968.HK,招商银行
03969.HK,中国通号
03988.HK,中国银行
03993.HK,洛阳钼业
03996.HK,中国能源建设
06030.HK,中信证券
06066.HK,中信建投证券
06099.HK,招商证券
06127.HK,昭衍新药
06160.HK,百济神州
06178.HK,光大证券
06185.HK,康希诺生物
06196.HK,郑州银行
06198.HK,青岛港
06655.HK,华新水泥
06680.HK,金力永磁
06690.HK,海尔智家
06806.HK,申万宏源
06818.HK,中国光大银行
06821.HK,凯莱英
06826.HK,昊海生物科技
06837.HK,海通证券
06865.HK,福莱特玻璃
06869.HK,长飞光纤光缆
06881.HK,中国银河
06886.HK,HTSC
09696.HK,天齐锂业
09969.HK,诺诚健华
09989.HK,海普瑞
09995.HK,荣昌生物